종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1784","-6","-0.34","1780","1796","1779","86223","153728600","94657327360","53059040"
"095570","AJ네트웍스","KOSPI",,"4405","0","0.00","4375","4455","4365","80608","354640361","199338403395","45252759"
"006840","AK홀딩스","KOSPI",,"9950","-60","-0.60","9990","10010","9930","2657","26488250","131813231950","13247561"
"054620","APS","KOSDAQ","중견기업부","4265","10","0.24","4255","4295","4250","14598","62286805","84848852565","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","20550","250","1.23","20450","20800","20250","87518","1792766075","309294371550","15050821"
"211270","AP위성","KOSDAQ","우량기업부","12570","380","3.12","12430","12780","12410","87678","1104598980","189584561280","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3825","-40","-1.03","3865","3870","3805","42663","163232794","366116725575","95716791"
"282330","BGF리테일","KOSPI",,"103200","-1600","-1.53","105500","105600","103200","24140","2505079150","1783699099200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","2945","-5","-0.17","2950","2980","2910","47846","141108865","184848517555","62766899"
"138930","BNK금융지주","KOSPI",,"13880","-230","-1.63","14200","14270","13800","667446","9272892480","4364221137520","314425154"
"001460","BYC","KOSPI",,"36100","-300","-0.82","36000","36400","35700","1032","37227550","225486015000","6246150"
"001465","BYC우","KOSPI",,"22400","-50","-0.22","22500","22850","22100","254","5679550","48246240000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1574","-50","-3.08","1624","1625","1569","90036","142591409","121031442468","76894182"
"001040","CJ","KOSPI",,"172400","-4100","-2.32","178500","178500","171800","80258","13887940700","5030114455200","29176998"
"079160","CJ CGV","KOSPI",,"5060","-70","-1.36","5090","5130","5030","259917","1317316330","837841049100","165581235"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","70300","800","1.15","70800","70900","69500","20207","1415931400","1541619526200","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9400","-60","-0.63","9500","9500","9340","5590","52389720","122815342800","13065462"
"00104K","CJ4우(전환)","KOSPI",,"147800","-4100","-2.70","151900","151900","146800","3686","545430650","624678473600","4226512"
"000120","CJ대한통운","KOSPI",,"82800","-900","-1.08","84000","84000","82400","26280","2176684150","1888862083200","22812344"
"011150","CJ씨푸드","KOSPI",,"2750","-25","-0.90","2780","2785","2745","84583","233180416","98809625750","35930773"
"011155","CJ씨푸드1우","KOSPI",,"16630","-20","-0.12","16650","16710","16630","79","1314630","3326000000","200000"
"001045","CJ우","KOSPI",,"92200","-1800","-1.91","94600","94600","91800","4495","414848450","208392560600","2260223"
"097950","CJ제일제당","KOSPI",,"233500","-3500","-1.48","237500","237500","233000","32133","7516239000","3515152431000","15054186"
"097955","CJ제일제당 우","KOSPI",,"138700","-500","-0.36","139200","139200","138200","2756","382284950","184114957100","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","26000","-150","-0.57","26150","26150","25600","10542","272193700","308661236000","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1841","-38","-2.02","1900","1902","1838","477708","888825904","272177458903","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","665","-4","-0.60","671","671","657","4675","3095663","49283938690","74111186"
"000480","CR홀딩스","KOSPI",,"4805","-10","-0.21","4790","4820","4790","42648","204756325","225308804450","46890490"
"065770","CS","KOSDAQ","벤처기업부","965","71","7.94","900","1060","898","4166919","4169734064","18731740450","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","746","-15","-1.97","762","773","731","1909184","1423112307","45690397026","61247181"
"000590","CS홀딩스","KOSPI",,"78300","-1600","-2.00","79900","80300","78200","1348","106187800","90395940600","1154482"
"012030","DB","KOSPI",,"1466","-24","-1.61","1501","1501","1464","253832","372883706","294920985778","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2085","5","0.24","2090","2090","2075","227","473240","12176400000","5840000"
"005830","DB손해보험","KOSPI",,"129300","-3000","-2.27","134300","134400","129000","106860","13897003550","9154440000000","70800000"
"016610","DB증권","KOSPI",,"10000","10","0.10","10100","10100","9870","89980","897310540","424463890000","42446389"
"000990","DB하이텍","KOSPI",,"59200","-200","-0.34","60000","60600","58700","156228","9272126850","2575471609600","43504588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1401","-78","-5.27","1455","1455","1401","144656","206600514","41904938334","29910734"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","162944308992","82129188"
